State,Algebra I PERCENT,Geometry PERCENT,ALgebra II PERCENT,Adv. Math 1 PERCENT,Calculus PERCENT,Biology Classes PERCENT,Chemistry Classes Percent,Physics  Classes PERCENT,Class room teachers FTE COUNT,Meeting all lic. & cert. Percent,First year of teaching PERCENT,Second year of teaching PERCENT,SAT-ACT Total per state,Total Enrollment Per State,AP total enrollment per state,SAT-ACT Percent per state,AP enrollent Percent Per state
"50 states, District of Columbia, and Puerto Rico",0.864471352,0.848100788,0.807777904,0.671834333,0.494813474,0.868884614,0.745275546,0.617517257,3324084.02,0.968187,0.06189,0.05489,3653685,50922024,3030991,0.071750585,0.059522202
Alabama,0.910798122,0.887323944,0.845070423,0.767605634,0.438967136,0.896713615,0.82629108,0.596244131,47512.87,0.893793,0.049056,0.041761,61719,742981,33466,0.083069419,0.045042875
Alaska,0.773972603,0.657534247,0.551369863,0.308219178,0.171232877,0.613013699,0.280821918,0.27739726,7312.09,0.992705,0.058439,0.053025,4874,131621,4487,0.037030565,0.034090305
Arizona,0.852727273,0.865454545,0.845454545,0.589090909,0.438181818,0.869090909,0.66,0.507272727,60874.99,0.902107,0.083565,0.06837,60972,1146677,60290,0.053172777,0.052578015
Arkansas,0.934285714,0.94,0.86,0.737142857,0.288571429,0.894285714,0.834285714,0.688571429,34876.23,0.977487,0.07679,0.054996,46644,496573,30154,0.093931809,0.060724204
California,0.836252856,0.712109673,0.625285605,0.531607007,0.442878903,0.789794364,0.578065499,0.503808073,288758.57,0.975336,0.059104,0.057814,343399,6230002,454749,0.055120207,0.072993396
Colorado,0.866666667,0.731428571,0.811428571,0.731428571,0.472380952,0.893333333,0.75047619,0.697142857,53008.76,0.9583,0.04644,0.056502,65678,910919,59458,0.072100812,0.065272543
Connecticut,0.778461538,0.735384615,0.741538462,0.649230769,0.529230769,0.772307692,0.692307692,0.6,44888.72,0.991089,0.04086,0.038522,47361,529367,35778,0.089467232,0.067586381
Delaware,0.85483871,0.806451613,0.822580645,0.64516129,0.580645161,0.822580645,0.758064516,0.629032258,9621.69,0.970551,0.060947,0.066698,9838,138525,11121,0.071019672,0.080281538
District of Columbia,0.916666667,0.895833333,0.895833333,0.8125,0.4375,0.916666667,0.895833333,0.708333333,7142.59,0.701776,0.079257,0.094784,6098,85397,4942,0.071407661,0.057870885
